DN20020 ,Modina Gen.Store 
23.70590833, 90.37565
DN20020 ,Haque Bakery 
23.824525, 90.36451333
DN20019 ,Standard Store 
23.76488, 90.40937167
DN20022 ,Jaman store 
23.84895, 90.25910833
DN20025 ,Yeasin Store 
23.78296, 90.409035
DN20019 ,Mannan Grosari _ 1 
23.77256667, 90.41325333
DN20019 ,Arestocate General Store 
23.77248333, 90.41214
DN20007 ,Ras Kadam (T muslim sweets) 
23.76143, 90.38348667
DN30005 ,M/s.Al-Wasel International 
23.91094167, 90.39788667
DN30006 ,Modina Genarel Store 
23.87730333, 90.392395
DN10026 ,Bikrompur Sweets & Bekary 
23.80574667, 90.367665
DN10004 ,Barisal General Store 
23.79651, 90.38455667
DSEA0014 ,Anich store 
23.54154333, 90.45955333
DN20020 ,Jonopriyo Dept Store 
23.80940833, 90.3651
DN20020 ,Maa Baber Doea/Mamun store 
23.81549, 90.36122167
DSEA-0021 ,Amena 2 
23.74841167, 90.41898167
DN10011 ,Ruposhi Bangla Park 
23.947405, 90.26112167
DN10011 ,Ruposhi Bangla Park 
23.94729, 90.261125
DN10011 ,Tamanna Store 
23.94525, 90.26667833
DN20010 ,Shahidul Store 
23.835445, 90.25389667
DN20015 ,MM Traders 
23.82192, 90.36911167
DN10004 ,Candle Light Food Corner 
23.80609167, 90.36950667
DN10026 ,Bickrumpur Mostanno vandar 
23.79064833, 90.3758
DN30006 ,Monsur Ali Medical Canteen(Sorai) 
23.874879, 90.4012175
DN30018 ,Hafsa Library & General Store 
23.78663667, 90.34636
DSEA0014 ,Nayon moni store 
23.61036333, 90.41844167
DSEA-0014 ,M/S Jahid Store 
23.60716667, 90.427085
DN20025 ,Shujon Store 
23.78501, 90.411965
DN20007 ,Monir Store 
23.7617, 90.38333667
DN10026 ,Tinni Gen.Store 
23.79349833, 90.37492
DN20019 ,H.F.C 
23.76451, 90.40644667
DN30018 ,Rosar Fota 
23.79749, 90.35322667
DN20021 ,Shahid St 
23.7392927, 90.3590911
DN20020 ,Bogdad General Store 
